UNIX_TIMESTAMP,DATE,HOUR_OF_DAY,OPEN,HIGH,CLOSE,LOW,VOLUME_FROM,VOLUME_TO,CREATED_AT
1751068800,2025-06-28,0,107105.16,107232.38,107124.1,106916.42,275.38,29482716.8,2025-06-29 16:27:55.000
1751072400,2025-06-28,1,107124.1,107181.12,107133.64,106884.15,225.15,24094922.51,2025-06-29 16:27:55.000
1751076000,2025-06-28,2,107133.64,107259.44,107170.89,107076.45,185.41,19872488.28,2025-06-29 16:27:55.000
1751079600,2025-06-28,3,107170.89,107402.64,107354.51,107147.67,139.74,14990348.61,2025-06-29 16:27:55.000
1751083200,2025-06-28,4,107354.51,107372.07,107258.48,107249.2,112.57,12078706.29,2025-06-29 16:27:55.000
1751086800,2025-06-28,5,107258.48,107364.96,107354.9,107253.56,92.13,9888670.07,2025-06-29 16:27:55.000
1751090400,2025-06-28,6,107354.9,107498.29,107477.28,107354.9,77.18,8292570.91,2025-06-29 16:27:55.000
1751094000,2025-06-28,7,107477.28,107552.62,107538.22,107461.98,73.2,7869224.67,2025-06-29 16:27:55.000
1751097600,2025-06-28,8,107538.22,107554.29,107437.58,107408.97,115.93,12458995.06,2025-06-29 16:27:55.000
1751101200,2025-06-28,9,107437.58,107437.7,107366.37,107335.59,98.35,10559695.65,2025-06-29 16:27:55.000
1751104800,2025-06-28,10,107366.37,107428.59,107328.3,107314.62,143.98,15458463.55,2025-06-29 16:27:55.000
1751108400,2025-06-28,11,107328.3,107430.12,107428.16,107328.21,73.97,7942071.76,2025-06-29 16:27:55.000
1751112000,2025-06-28,12,107428.16,107434.59,107395.32,107352.54,72.73,7810164.39,2025-06-29 16:27:55.000
1751115600,2025-06-28,13,107395.32,107417.78,107167.71,107153.28,129.92,13933984.82,2025-06-29 16:27:55.000
1751119200,2025-06-28,14,107167.71,107314.98,107263.7,107165.8,115.02,12336416.04,2025-06-29 16:27:55.000
1751122800,2025-06-28,15,107263.7,107591.48,107510.85,107261.13,220.32,23658132.5,2025-06-29 16:27:55.000
1751126400,2025-06-28,16,107510.85,107570.61,107355.02,107312.29,239.64,25744032.52,2025-06-29 16:27:55.000
1751130000,2025-06-28,17,107355.02,107587.58,107516.21,107343.42,179.48,19286861.71,2025-06-29 16:27:55.000
1751133600,2025-06-28,18,107516.21,107519.6,107375.42,107313.09,322.13,34581751.99,2025-06-29 16:27:55.000
1751137200,2025-06-28,19,107375.42,107387.86,107279.93,107279.93,87.75,9419069.5,2025-06-29 16:27:55.000
1751140800,2025-06-28,20,107279.93,107279.93,107224.4,107211.72,126.29,13545406.73,2025-06-29 16:27:55.000
1751144400,2025-06-28,21,107224.4,107398.19,107382.38,107222.66,142.64,15304814.18,2025-06-29 16:27:55.000
1751148000,2025-06-28,22,107382.38,107420.72,107407.87,107326.59,149.29,16030468.95,2025-06-29 16:27:55.000
1751151600,2025-06-28,23,107407.87,107408.25,107346.44,107338.14,74.27,7974467.24,2025-06-29 16:27:55.000
