TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1759536000,2025-10-04,0,122318.86,122385.11,122206.68,122088.93,559.58,68394890.13
1759539600,2025-10-04,1,122206.68,122210.75,121957.15,121792.75,637.88,77840497.81
1759543200,2025-10-04,2,121957.15,122138.66,121948.08,121777.42,702.57,85670458.26
1759546800,2025-10-04,3,121948.08,122420.54,122337.96,121932.76,420.15,51313105.16
1759550400,2025-10-04,4,122337.96,122627.87,122595.48,122320.36,470.9,57672412.56
1759554000,2025-10-04,5,122595.48,122898.15,122622.82,122506.22,541.49,66441365.4
1759557600,2025-10-04,6,122622.82,122702.12,122531.15,122484.18,387.45,47505012.92
1759561200,2025-10-04,7,122531.15,122536.74,122401.35,122344.3,210.12,25725687.06
1759564800,2025-10-04,8,122401.35,122620.16,122356.39,122279.33,327.04,40052045.44
1759568400,2025-10-04,9,122356.39,122537.64,122298.56,122271.21,189.73,23224342.18
1759572000,2025-10-04,10,122298.56,122412.83,122197.49,122188.85,216.8,26514705.92
1759575600,2025-10-04,11,122197.49,122300.92,122059.3,122047.97,287.7,35142801.86
1759579200,2025-10-04,12,122059.3,122190.83,122089.52,122035.39,257.09,31393457.92
1759582800,2025-10-04,13,122089.52,122579.56,122473.46,122089.1,529.41,64819558.22
1759586400,2025-10-04,14,122473.46,122541.58,122083.56,122083.55,338.2,41375447.03
1759590000,2025-10-04,15,122083.56,122208.84,121869.54,121781.73,692.38,84447719.95
1759593600,2025-10-04,16,121869.54,122042.26,121802.55,121671.86,946.97,115372579.85
1759597200,2025-10-04,17,121802.55,121997.09,121825.26,121748.34,335.8,40921814.9
1759600800,2025-10-04,18,121825.26,121907.78,121654.72,121598.23,442.73,53906700.93
1759604400,2025-10-04,19,121654.72,122037.19,122037.01,121654.48,273.71,33359201.55
1759608000,2025-10-04,20,122037.01,122151.43,121959.56,121959.56,272.55,33270479.66
1759611600,2025-10-04,21,121959.56,122410.03,122256.94,121942.78,349.83,42765726.77
1759615200,2025-10-04,22,122256.94,122422.82,122359.22,122204.55,269.1,32917534.49
1759618800,2025-10-04,23,122359.22,122359.31,122345.45,122345.15,5.227,639479.72
